TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,WeatherAssessment,Progress,Weekend,DayCount,Delay,predict
132,10,1,0,9,49,5031,0,16.129032258064516,6.8181818181818175,0,48,10,9.878414811065753
150,16,2,1,14,88,12899,0,14.285714285714285,9.333333333333334,0,48,38,38.01196524244865
130,17,3,1,14,98,13437,0,14.285714285714285,10.76923076923077,0,48,21,21.161214569357934
98,11,2,2,9,61,10075,1,14.285714285714285,9.183673469387756,0,49,14,14.18264228916037
139,7,3,0,4,47,5130,0,3.8461538461538463,2.877697841726619,1,22,5,20.27064753600776
145,20,3,1,17,104,15626,0,14.285714285714285,11.724137931034482,1,50,21,20.30106567383696
130,18,2,2,16,102,14856,0,14.285714285714285,12.307692307692308,1,50,21,20.94961493064308
132,10,1,0,9,52,5031,0,16.129032258064516,6.8181818181818175,1,51,10,9.792887260996809
113,16,2,1,14,93,13322,0,16.129032258064516,12.389380530973453,1,51,14,13.833306422860415
130,20,3,1,17,105,15553,0,14.285714285714285,13.076923076923078,0,52,21,20.84816248020793
130,21,3,0,18,109,16273,0,14.285714285714285,13.846153846153848,0,53,21,20.90023646080222
100,32,2,0,30,160,21453,0,25.806451612903224,30.0,0,82,9,9.052785257903238
139,8,3,2,5,55,7557,0,3.8461538461538463,3.597122302158273,0,26,5,11.38539748933313
100,32,2,0,30,162,21453,0,25.806451612903224,30.0,0,83,9,9.047268830101316
100,32,2,0,30,163,21453,0,25.806451612903224,30.0,0,84,9,9.038075313535742
149,1,1,0,0,1,0,0,0.0,0.0,0,0,12,14.543931696910889
100,32,1,1,31,165,22325,0,25.806451612903224,31.0,1,85,9,9.364638419767076
132,12,1,1,11,59,6018,0,16.129032258064516,8.333333333333332,1,58,10,10.048889778653988
149,1,1,0,0,2,0,0,0.0,0.0,1,2,12,14.47122475374404
113,20,2,1,18,107,16337,0,16.129032258064516,15.929203539823009,1,58,14,13.810893599604029
128,1,1,0,0,1,0,0,0.0,0.0,1,2,19,19.1557571774551
125,17,2,1,15,95,11932,0,15.384615384615383,12.0,1,58,6,7.163962679583861
140,18,3,1,15,113,13299,0,14.285714285714285,10.714285714285714,0,59,21,21.081815531724672
139,13,3,2,10,69,11267,0,3.8461538461538463,7.194244604316546,0,31,5,13.357481510288792
125,17,2,1,15,97,11932,0,15.384615384615383,12.0,0,59,6,7.532585146141869
98,14,2,1,12,77,12180,0,14.285714285714285,12.244897959183673,0,60,14,14.104702477353795
120,28,2,1,26,142,17704,0,26.923076923076923,21.666666666666668,0,88,20,20.045619715694343
130,22,3,2,19,124,17044,0,14.285714285714285,14.615384615384617,0,60,21,20.75072995388969
128,2,2,0,0,7,0,0,0.0,0.0,0,5,19,18.95922774105334
148,2,2,0,0,11,0,0,0.0,0.0,0,5,4,4.585222044979176
149,3,3,0,0,10,0,0,0.0,0.0,0,6,12,15.26411721180689
128,3,3,0,0,12,0,0,0.0,0.0,0,7,19,17.751277670138236
140,12,3,2,9,70,8840,0,4.761904761904762,6.428571428571428,0,35,17,17.118199889960536
116,16,2,2,14,100,11988,0,15.384615384615383,12.06896551724138,1,64,9,8.945995973930408
139,16,3,1,13,81,13256,0,3.8461538461538463,9.352517985611511,1,36,5,8.17820410037298
128,3,3,0,0,12,0,0,0.0,0.0,1,8,19,17.877893655042
150,20,2,1,18,109,15982,0,14.285714285714285,12.0,1,65,38,37.79805932837168
98,16,2,1,14,86,13184,0,14.285714285714285,14.285714285714285,0,66,14,13.871506171871673
145,28,3,1,25,140,21325,0,14.285714285714285,17.24137931034483,0,67,21,20.93250528988706
100,36,2,2,34,184,24293,0,25.806451612903224,34.0,0,96,9,9.024484698608616
116,17,2,2,15,107,12548,0,15.384615384615383,12.93103448275862,0,69,9,9.012268198019015
120,31,2,1,29,156,19596,0,26.923076923076923,24.166666666666668,0,98,20,20.005370866352465
148,3,2,0,1,30,1913,0,0.0,0.6756756756756757,0,14,4,4.241548143517733
148,4,2,0,2,33,2855,0,0.0,1.351351351351351,1,15,4,3.8726969393550954
145,30,3,1,27,149,22046,0,14.285714285714285,18.620689655172416,1,72,21,21.401281058062025
140,16,3,2,13,86,10419,0,4.761904761904762,9.285714285714286,1,44,17,16.85428104232183
111,3,2,0,1,19,1618,0,0.0,0.9009009009009008,0,17,29,29.610322161920934
100,38,2,2,36,194,25409,0,25.806451612903224,36.0,0,102,9,9.007275349543091
132,16,1,0,15,78,8596,0,16.129032258064516,11.363636363636363,0,74,10,9.943773122203725
120,32,2,2,30,162,20076,0,26.923076923076923,25.0,0,102,20,20.01711776567187
145,31,3,1,28,156,22812,0,14.285714285714285,19.310344827586206,0,74,21,21.04839231002684
130,29,3,0,26,157,22072,0,14.285714285714285,20.0,0,74,21,20.89600578182531
140,22,3,2,19,146,16322,0,14.285714285714285,13.571428571428571,0,75,21,20.813229966680822
116,18,2,2,16,114,13472,0,15.384615384615383,13.79310344827586,0,75,9,9.05806411392929
150,24,2,2,22,125,17718,0,14.285714285714285,14.666666666666666,0,75,38,37.468730812404615
116,20,2,2,18,118,14662,0,15.384615384615383,15.517241379310343,0,76,9,9.195458013711471
98,18,2,2,16,98,14864,0,14.285714285714285,16.3265306122449,0,76,14,14.3197545763485
100,39,2,1,37,198,25732,0,25.806451612903224,37.0,0,104,9,9.056697263465836
150,26,2,1,24,129,18557,0,14.285714285714285,16.0,0,76,38,37.98008537601324
149,5,3,1,2,42,3164,0,0.0,1.342281879194631,0,20,12,15.09080530339402
100,39,2,1,37,200,25732,0,25.806451612903224,37.0,0,105,9,9.042958698260705
150,26,2,2,24,131,18557,0,14.285714285714285,16.0,0,77,38,37.99332111946548
113,26,2,1,24,142,19227,0,16.129032258064516,21.238938053097343,0,77,14,13.831048828047429
140,24,3,1,21,154,18168,0,14.285714285714285,15.0,1,78,21,20.87981999678364
98,19,2,1,17,100,15602,0,14.285714285714285,17.346938775510203,1,78,14,14.024945195303886
100,40,2,1,38,203,26361,0,25.806451612903224,38.0,1,106,9,9.02250606801296
113,26,2,2,24,144,19227,0,16.129032258064516,21.238938053097343,1,78,14,13.61184980105442
140,18,3,2,15,98,11409,0,4.761904761904762,10.714285714285714,1,50,17,17.223749648544484
132,17,1,0,16,83,8836,0,16.129032258064516,12.12121212121212,0,80,10,10.135852333072265
98,21,2,1,19,109,17061,0,14.285714285714285,19.387755102040817,0,83,14,14.23458271181677
150,28,2,1,26,140,20223,0,14.285714285714285,17.333333333333336,0,83,38,38.0169586980535
148,7,2,1,5,50,5913,0,0.0,3.3783783783783785,0,27,4,3.9079932484687134
116,23,2,2,21,132,16518,0,15.384615384615383,18.103448275862068,0,84,9,9.109271998751652
132,17,1,1,16,87,8836,0,16.129032258064516,12.12121212121212,0,84,10,9.893309492168058
98,21,2,1,19,110,17061,0,14.285714285714285,19.387755102040817,1,85,14,14.196562969363882
116,24,2,2,22,135,16897,0,15.384615384615383,18.96551724137931,1,86,9,9.099472040834158
120,36,2,2,34,184,21791,0,26.923076923076923,28.33333333333333,1,114,20,20.185367847466992
100,43,2,1,41,222,28439,0,25.806451612903224,41.0,0,115,9,9.003150263922876
86,1,1,0,0,3,0,0,12.903225806451612,0.0,0,3,3,3.0966313552157345
113,31,2,1,29,164,22407,0,16.129032258064516,25.663716814159297,0,87,14,14.301062353540845
118,2,2,0,0,5,0,0,7.6923076923076925,0.0,0,3,9,9.379167530490534
111,8,2,1,6,40,5666,0,0.0,5.405405405405405,0,32,29,28.74381079414657
136,3,3,0,0,4,0,0,9.523809523809524,0.0,0,4,27,27.57046217402372
140,31,3,1,28,182,22491,0,14.285714285714285,20.0,0,90,21,21.177029873809676
113,32,2,1,30,170,23068,0,16.129032258064516,26.548672566371685,0,90,14,14.23815190562506
128,9,3,0,6,70,8271,0,0.0,4.6875,0,34,19,19.36457119817119
100,45,2,0,43,232,29911,0,25.806451612903224,43.0,0,119,9,8.971860334118688
86,2,2,0,0,8,0,0,12.903225806451612,0.0,0,7,3,3.387046237793996
111,9,2,0,7,45,6215,0,0.0,6.306306306306306,1,36,29,29.0898714064801
132,18,1,1,17,94,9543,0,16.129032258064516,12.87878787878788,1,92,10,9.98249937816196
118,2,2,0,0,15,0,0,7.6923076923076925,0.0,1,8,9,8.799420213684655
127,2,2,0,0,17,0,1,12.903225806451612,0.0,1,9,4,3.7809871917247193
148,12,2,0,10,73,8823,1,0.0,6.756756756756757,1,37,4,4.188664699825907
127,3,2,0,1,20,1761,0,12.903225806451612,0.7874015748031495,0,10,4,3.828766744901671
115,2,2,0,0,15,0,0,7.6923076923076925,0.0,0,11,19,19.194366636479984
98,22,2,2,20,121,17911,0,14.285714285714285,20.40816326530612,0,95,14,13.77581322445782
132,18,1,1,17,96,9543,0,16.129032258064516,12.87878787878788,0,96,10,9.966478482830794
125,27,2,2,25,158,17278,0,15.384615384615383,20.0,0,96,6,5.740812045801945
115,2,2,0,0,19,0,0,7.6923076923076925,0.0,0,13,19,19.55610267023572
140,33,3,2,30,197,23950,0,14.285714285714285,21.428571428571427,0,97,21,21.132338764416502
118,2,2,0,0,22,0,0,7.6923076923076925,0.0,0,13,9,9.069055740952038
125,28,2,1,26,161,18079,0,15.384615384615383,20.8,0,97,6,5.925912920156193
140,35,3,2,32,201,24822,0,14.285714285714285,22.857142857142858,0,98,21,20.987070758784697
148,14,2,0,12,83,10047,0,0.0,8.108108108108109,0,42,4,3.4285136254924997
132,20,1,1,19,101,10331,0,16.129032258064516,14.393939393939394,1,99,10,9.887334777354924
150,32,2,1,30,160,23012,0,14.285714285714285,20.0,1,99,38,37.61411768800987
113,35,2,2,33,184,24049,0,16.129032258064516,29.20353982300885,1,99,14,14.219467888145816
139,31,3,3,28,170,23395,1,3.8461538461538463,20.14388489208633,1,72,5,10.472690537944302
148,15,2,0,13,86,10424,1,0.0,8.783783783783784,1,44,4,4.018970689628489
100,47,2,1,45,250,30665,1,25.806451612903224,45.0,0,129,9,9.086092759803035
86,4,2,0,2,28,2562,1,12.903225806451612,2.3255813953488373,0,17,3,2.66380762919421
130,42,3,1,39,213,29667,1,14.285714285714285,30.0,0,101,21,21.058201131585022
98,26,2,1,24,132,20323,0,14.285714285714285,24.489795918367346,0,102,14,14.733779348005342
100,47,2,1,45,252,30665,0,25.806451612903224,45.0,0,130,9,9.095403932812374
149,19,3,2,16,103,11369,0,0.0,10.738255033557047,0,46,12,13.51483227802369
125,29,2,1,27,169,18818,0,15.384615384615383,21.6,0,102,6,5.985390919962597
148,15,2,1,13,90,10424,0,0.0,8.783783783783784,0,46,4,3.71086289160435
113,36,2,2,34,190,24666,0,16.129032258064516,30.08849557522124,0,103,14,13.881802808453145
120,43,2,2,41,218,25210,1,26.923076923076923,34.166666666666664,0,132,20,19.93869352093658
127,6,2,0,4,38,6183,0,12.903225806451612,3.149606299212598,0,21,4,3.9836677857214937
125,30,2,2,28,175,19504,0,15.384615384615383,22.4,1,106,6,5.724992401377463
98,27,2,2,25,138,21255,0,14.285714285714285,25.51020408163265,0,108,14,14.017753218460498
86,5,2,1,3,38,5041,0,12.903225806451612,3.488372093023256,0,24,3,3.087186017300567
116,34,2,2,32,177,23263,0,15.384615384615383,27.58620689655172,0,109,9,8.756256993194043
136,7,3,1,4,46,9276,0,9.523809523809524,2.941176470588235,0,25,27,26.142470321033628
100,49,2,2,47,262,31563,0,25.806451612903224,47.0,0,137,9,8.995703020690385
120,45,2,2,43,226,25808,0,26.923076923076923,35.833333333333336,0,137,20,20.03373993334732
125,31,2,1,29,180,20008,0,15.384615384615383,23.200000000000003,0,109,6,5.965197719702488
149,24,3,1,21,124,13276,0,0.0,14.093959731543624,0,54,12,13.442463687014836
139,34,3,3,31,197,25533,0,3.8461538461538463,22.30215827338129,0,82,5,11.858033181882504
86,6,2,1,4,44,5691,0,12.903225806451612,4.651162790697675,0,27,3,3.12194929996754
98,28,2,2,26,146,21753,0,14.285714285714285,26.53061224489796,0,112,14,13.78779603409545
148,1,1,0,0,1,0,0,23.809523809523807,0.0,0,0,42,38.62697011196856
148,17,2,1,15,108,11464,0,0.0,10.135135135135137,0,56,4,4.607307841306252
150,35,2,1,33,178,25255,0,14.285714285714285,22.0,1,113,38,38.0107839704922
148,1,1,0,0,1,0,0,23.809523809523807,0.0,1,2,42,39.43594099303432
128,19,3,3,16,115,14433,0,0.0,12.5,1,58,19,19.409529679587152
140,35,3,3,32,174,21097,0,4.761904761904762,22.857142857142858,1,86,17,16.63145365206715
98,28,2,2,26,147,21753,0,14.285714285714285,26.53061224489796,0,115,14,13.806386843989245
130,47,3,2,44,239,32324,0,14.285714285714285,33.84615384615385,0,115,21,20.718979832784
148,18,2,1,16,112,12046,0,0.0,10.81081081081081,0,59,4,4.853940958480749
128,21,3,1,18,122,15584,0,0.0,14.0625,0,60,19,19.358954401870008
86,9,2,2,7,55,8259,0,12.903225806451612,8.13953488372093,0,33,3,3.237944848953205
139,39,3,1,36,218,28516,0,3.8461538461538463,25.899280575539567,0,89,5,7.946797746707901
113,40,2,2,38,211,27534,0,16.129032258064516,33.6283185840708,0,117,14,13.9044707603514
118,7,2,1,5,52,5800,0,7.6923076923076925,4.23728813559322,0,33,9,8.981087373367203
130,49,3,2,46,246,33830,0,14.285714285714285,35.38461538461539,0,117,21,20.854315719438503
127,10,1,0,9,60,9053,0,12.903225806451612,7.086614173228346,0,33,4,4.031107552965707
111,17,2,1,15,83,11495,0,0.0,13.513513513513514,0,62,29,28.82137719774205
150,36,2,2,34,186,25734,0,14.285714285714285,22.666666666666664,0,118,38,37.58184667933689
86,9,2,2,7,57,8259,0,12.903225806451612,8.13953488372093,0,34,3,3.211708927848534
118,8,2,0,6,55,6718,0,7.6923076923076925,5.084745762711865,0,34,9,9.0171586778974
149,30,3,0,27,150,18167,0,0.0,18.12080536912752,0,63,12,11.161149557201
120,48,2,2,46,244,27743,0,26.923076923076923,38.333333333333336,0,147,20,19.99196853879836
118,8,2,1,6,58,6718,0,7.6923076923076925,5.084745762711865,1,36,9,8.970355418148259
148,3,3,0,0,14,0,0,23.809523809523807,0.0,1,8,42,42.18276485004158
145,53,3,2,50,255,36558,0,14.285714285714285,34.48275862068966,1,120,21,20.889114474753526
125,37,1,1,36,203,24118,0,15.384615384615383,28.8,1,120,6,9.172100768806343
150,37,2,1,35,189,26414,1,14.285714285714285,23.33333333333333,1,121,38,37.656380572259664
132,26,1,1,25,124,14185,0,16.129032258064516,18.939393939393938,0,122,10,10.03997103664348
136,10,2,0,8,66,10600,0,9.523809523809524,5.88235294117647,0,39,27,26.8371618732394
132,26,1,1,25,124,14185,0,16.129032258064516,18.939393939393938,0,123,10,10.03997103664348
148,3,3,0,0,20,0,0,23.809523809523807,0.0,0,11,42,42.7609298600632
117,2,2,0,0,12,0,0,23.809523809523807,0.0,0,11,24,24.08813897682326
140,45,3,3,42,254,30787,0,14.285714285714285,30.0,0,124,21,20.88449073090878
117,2,2,0,0,16,0,0,23.809523809523807,0.0,0,13,24,24.206236343493813
140,47,3,2,44,261,31698,0,14.285714285714285,31.428571428571427,0,126,21,20.9022873662138
149,34,3,0,31,167,20797,0,0.0,20.80536912751678,0,70,12,10.80931079702846
130,54,3,3,51,265,37007,0,14.285714285714285,39.23076923076923,0,126,21,21.063834586348364
117,2,2,0,0,18,0,1,23.809523809523807,0.0,1,15,24,23.9474594737962
100,56,2,1,54,295,34742,1,25.806451612903224,54.0,1,156,9,8.962185600144736
150,38,2,1,36,198,27189,1,14.285714285714285,24.0,1,128,38,38.2120961422295
98,32,2,2,30,168,24343,0,14.285714285714285,30.612244897959183,0,129,14,14.309974979000586
100,56,2,1,54,297,34742,0,25.806451612903224,54.0,0,157,9,8.957801163103582
145,57,3,2,54,274,38257,0,14.285714285714285,37.24137931034483,0,129,21,21.029949944200283
148,5,3,0,2,34,2737,0,23.809523809523807,1.351351351351351,0,18,42,42.06882256172453
132,28,1,1,27,133,15230,0,16.129032258064516,20.454545454545457,0,131,10,9.991904093408962
86,14,2,2,12,86,11554,0,12.903225806451612,13.953488372093023,0,48,3,2.045758034993426
130,57,3,2,54,279,38633,0,14.285714285714285,41.53846153846154,0,132,21,20.76914935119335
117,2,2,0,0,25,0,0,23.809523809523807,0.0,0,20,24,24.076397151534778
125,41,2,1,39,223,25837,0,15.384615384615383,31.2,0,133,6,5.974789472651324
127,14,1,0,13,76,12176,0,12.903225806451612,10.236220472440944,0,49,4,4.000734677419544
115,9,1,0,8,53,7746,0,7.6923076923076925,6.956521739130435,1,50,19,18.948012962131045
140,48,3,3,45,272,32104,0,14.285714285714285,32.142857142857146,1,134,21,21.069890809935075
100,58,2,2,56,307,36242,0,25.806451612903224,56.00000000000001,1,162,9,9.245304707693109
86,16,2,0,14,91,12696,0,12.903225806451612,16.27906976744186,1,50,3,2.9835327240466114
117,3,2,1,1,33,2032,0,35.483870967741936,0.8547008547008548,1,22,14,14.239319301830122
140,47,3,2,44,226,28366,0,4.761904761904762,31.428571428571427,1,106,17,16.763353471860185
132,28,1,1,27,135,15230,1,16.129032258064516,20.454545454545457,1,135,10,10.045813398550097
150,39,2,2,37,208,27460,1,14.285714285714285,24.666666666666668,1,135,38,37.47915716849799
117,3,2,1,1,35,2032,1,35.483870967741936,0.8547008547008548,1,23,14,14.224299084141832
128,34,3,0,31,167,22678,1,0.0,24.21875,1,79,19,19.135387160520125
111,22,2,0,20,109,14861,1,0.0,18.01801801801802,0,80,29,28.630567904974452
115,9,1,0,8,54,7746,1,7.6923076923076925,6.956521739130435,0,52,19,18.944637512702187
140,49,3,3,46,276,32946,1,14.285714285714285,32.857142857142854,0,136,21,21.157476617625704
86,16,2,1,14,93,12696,1,12.903225806451612,16.27906976744186,0,52,3,2.877586264239156
140,49,3,3,46,278,32946,1,14.285714285714285,32.857142857142854,0,137,21,21.157476617625704
86,16,2,1,14,94,12696,1,12.903225806451612,16.27906976744186,0,53,3,2.8837870419354346
148,5,2,0,3,48,4065,1,23.809523809523807,2.027027027027027,0,25,42,35.45989133782992
127,14,1,0,13,78,12176,1,12.903225806451612,10.236220472440944,0,53,4,3.905785841282935
111,24,2,0,22,113,16137,1,0.0,19.81981981981982,0,82,29,29.312303809570736
132,28,1,1,27,136,15230,1,16.129032258064516,20.454545454545457,0,138,10,9.98725115030335
113,49,2,2,47,257,33710,1,16.129032258064516,41.5929203539823,0,139,14,13.839963851061626
110,1,1,0,0,1,0,1,38.095238095238095,0.0,0,0,35,34.08301011633871
113,49,2,2,47,258,33710,1,16.129032258064516,41.5929203539823,0,140,14,13.839963851061626
148,7,3,1,4,55,6190,1,23.809523809523807,2.702702702702702,1,29,42,42.17267583879716
149,39,3,1,36,197,22783,1,0.0,24.16107382550336,1,86,12,14.080819542066322
117,3,2,1,1,34,2178,1,23.809523809523807,0.8547008547008548,1,30,24,23.959721732100164
145,64,3,3,61,303,42326,0,14.285714285714285,42.06896551724138,0,143,21,20.69781831705613
148,28,2,2,26,169,18230,0,0.0,17.56756756756757,0,87,4,4.211277050298818
115,11,1,0,10,62,8289,0,7.6923076923076925,8.695652173913043,0,62,19,18.95785836831733
150,2,2,0,0,9,0,0,38.46153846153847,0.0,0,6,11,10.42241048457204
100,62,2,1,60,331,38797,0,25.806451612903224,60.0,0,174,9,9.001251369137904
110,2,2,0,0,7,0,0,38.095238095238095,0.0,0,6,35,34.57546267721541
128,36,3,2,33,186,23312,0,0.0,25.78125,0,90,19,19.12533919766379
110,2,2,0,0,9,0,0,38.095238095238095,0.0,0,7,35,34.86043348825247
117,5,2,0,3,43,4823,0,23.809523809523807,2.564102564102564,0,35,24,23.85514567802734
127,16,1,1,15,87,13603,0,12.903225806451612,11.811023622047244,0,63,4,4.000605679387675
149,42,3,2,39,211,24730,0,0.0,26.174496644295303,1,92,12,14.332793498176628
118,15,2,2,13,98,10805,0,7.6923076923076925,11.016949152542372,1,64,9,9.02419820932279
148,34,2,0,32,184,22371,0,0.0,21.62162162162162,1,92,4,3.757656276005733
109,2,2,0,0,12,0,1,38.46153846153847,0.0,1,9,20,20.207830842512934
149,42,3,2,39,211,24730,1,0.0,26.174496644295303,1,93,12,14.324632294568303
86,20,2,0,18,119,15471,1,12.903225806451612,20.930232558139537,1,65,3,2.976933306426659
120,58,2,2,56,297,34217,1,26.923076923076923,46.66666666666666,1,177,20,19.918729457334635
136,19,2,1,17,106,14474,0,9.523809523809524,12.5,0,66,27,26.921821510128
139,58,3,2,55,309,40010,0,3.8461538461538463,39.568345323741006,0,122,5,9.335816474143442
148,10,3,0,7,72,7527,0,23.809523809523807,4.72972972972973,0,38,42,41.99835678067889
111,26,2,1,24,129,17315,1,0.0,21.62162162162162,0,95,29,28.89935706466146
116,52,2,1,50,253,34332,1,15.384615384615383,43.103448275862064,0,151,9,9.498592068516489
113,54,2,2,52,281,36597,1,16.129032258064516,46.017699115044245,0,151,14,14.212744423022528
118,17,2,1,15,101,12341,1,7.6923076923076925,12.71186440677966,0,67,9,8.975678915265021
145,68,3,2,65,319,44848,1,14.285714285714285,44.82758620689656,0,151,21,21.68085527945864
117,5,2,2,3,45,4823,1,23.809523809523807,2.564102564102564,0,39,24,23.88299983651946
139,58,3,2,55,314,40010,1,3.8461538461538463,39.568345323741006,0,124,5,8.270426584472673
120,60,2,2,58,303,34895,1,26.923076923076923,48.333333333333336,0,180,20,19.91314064171071
148,10,3,2,7,76,7527,1,23.809523809523807,4.72972972972973,0,40,42,41.785013667491015
130,64,3,3,61,313,42418,1,14.285714285714285,46.92307692307692,0,152,21,20.835096124934623
